franquia,cidade,cadastro,referencia,clientes_ativos
FR321,VOTUPORANGA,2020-10-01,2021-08-01,168.0
FR321,VOTUPORANGA,2020-10-01,2021-07-01,264.0
FR321,VOTUPORANGA,2020-10-01,2021-06-01,276.0
FR321,VOTUPORANGA,2020-10-01,2021-05-01,261.0
FR321,VOTUPORANGA,2020-10-01,2021-04-01,456.0
FR321,VOTUPORANGA,2020-10-01,2021-03-01,387.0
FR321,VOTUPORANGA,2020-10-01,2021-02-01,459.0
FR321,VOTUPORANGA,2020-10-01,2021-01-01,504.0
FR320,VOTORANTIM,2012-01-01,2021-08-01,477.0
FR320,VOTORANTIM,2012-01-01,2021-07-01,702.0
FR320,VOTORANTIM,2012-01-01,2021-06-01,738.0
FR320,VOTORANTIM,2012-01-01,2021-05-01,609.0
FR320,VOTORANTIM,2012-01-01,2021-04-01,519.0
FR320,VOTORANTIM,2012-01-01,2021-03-01,741.0
FR320,VOTORANTIM,2012-01-01,2021-02-01,813.0
FR320,VOTORANTIM,2012-01-01,2021-01-01,960.0
FR320,VOTORANTIM,2012-01-01,2019-12-01,
FR320,VOTORANTIM,2012-01-01,2019-11-01,
FR320,VOTORANTIM,2012-01-01,2019-10-01,
FR320,VOTORANTIM,2012-01-01,2019-09-01,
FR320,VOTORANTIM,2012-01-01,2019-08-01,237.0
FR320,VOTORANTIM,2012-01-01,2019-07-01,189.0
FR320,VOTORANTIM,2012-01-01,2019-06-01,192.0
FR320,VOTORANTIM,2012-01-01,2019-05-01,159.0
FR320,VOTORANTIM,2012-01-01,2019-04-01,183.0
FR320,VOTORANTIM,2012-01-01,2019-03-01,150.0
FR320,VOTORANTIM,2012-01-01,2019-02-01,213.0
FR320,VOTORANTIM,2012-01-01,2019-01-01,84.0
FR319,VOLTA REDONDA,2019-02-01,2021-08-01,1422.0
FR319,VOLTA REDONDA,2019-02-01,2021-07-01,1575.0
FR319,VOLTA REDONDA,2019-02-01,2021-06-01,1593.0
FR319,VOLTA REDONDA,2019-02-01,2021-05-01,1338.0
FR319,VOLTA REDONDA,2019-02-01,2021-04-01,1518.0
FR319,VOLTA REDONDA,2019-02-01,2021-03-01,1620.0
FR319,VOLTA REDONDA,2019-02-01,2021-02-01,1437.0
FR319,VOLTA REDONDA,2019-02-01,2021-01-01,1815.0
FR319,VOLTA REDONDA,2019-02-01,2019-12-01,
FR319,VOLTA REDONDA,2019-02-01,2019-11-01,
FR319,VOLTA REDONDA,2019-02-01,2019-10-01,
FR319,VOLTA REDONDA,2019-02-01,2019-09-01,
FR319,VOLTA REDONDA,2019-02-01,2019-08-01,573.0
FR319,VOLTA REDONDA,2019-02-01,2019-07-01,531.0
FR319,VOLTA REDONDA,2019-02-01,2019-06-01,297.0
FR319,VOLTA REDONDA,2019-02-01,2019-05-01,216.0
FR318,VITORIA DE SANTO ANTAO,,2021-08-01,693.0
FR318,VITORIA DE SANTO ANTAO,,2021-07-01,1395.0
FR318,VITORIA DE SANTO ANTAO,,2021-06-01,1197.0
FR318,VITORIA DE SANTO ANTAO,,2021-05-01,855.0
FR318,VITORIA DE SANTO ANTAO,,2021-04-01,954.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-08-01,1509.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-07-01,1827.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-06-01,1563.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-05-01,1545.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-04-01,1800.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-03-01,1752.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-02-01,1809.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2021-01-01,1725.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-12-01,
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-11-01,
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-10-01,
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-09-01,
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-08-01,2058.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-07-01,2115.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-06-01,1317.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-05-01,1827.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-04-01,1506.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-03-01,1515.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-02-01,1581.0
FR317,VITORIA DA CONQUISTA,2017-05-01,2019-01-01,84.0
FR316,VITORIA,2006-10-01,2021-08-01,729.0
FR316,VITORIA,2006-10-01,2021-07-01,921.0
FR316,VITORIA,2006-10-01,2021-06-01,915.0
FR316,VITORIA,2006-10-01,2021-05-01,873.0
FR316,VITORIA,2006-10-01,2021-04-01,597.0
FR316,VITORIA,2006-10-01,2021-03-01,684.0
FR316,VITORIA,2006-10-01,2021-02-01,615.0
FR316,VITORIA,2006-10-01,2021-01-01,825.0
FR316,VITORIA,2006-10-01,2019-12-01,
FR316,VITORIA,2006-10-01,2019-11-01,
FR316,VITORIA,2006-10-01,2019-10-01,
FR316,VITORIA,2006-10-01,2019-09-01,
FR316,VITORIA,2006-10-01,2019-08-01,405.0
FR316,VITORIA,2006-10-01,2019-07-01,339.0
FR316,VITORIA,2006-10-01,2019-06-01,255.0
FR316,VITORIA,2006-10-01,2019-05-01,405.0
FR316,VITORIA,2006-10-01,2019-04-01,375.0
FR316,VITORIA,2006-10-01,2019-03-01,393.0
FR316,VITORIA,2006-10-01,2019-02-01,312.0
FR316,VITORIA,2006-10-01,2019-01-01,117.0
FR315,VILA VELHA,2006-09-01,2021-08-01,1164.0
FR315,VILA VELHA,2006-09-01,2021-07-01,1338.0
FR315,VILA VELHA,2006-09-01,2021-06-01,1371.0
FR315,VILA VELHA,2006-09-01,2021-05-01,1218.0
FR315,VILA VELHA,2006-09-01,2021-04-01,1260.0
FR315,VILA VELHA,2006-09-01,2021-03-01,1092.0
FR315,VILA VELHA,2006-09-01,2021-02-01,1047.0
FR315,VILA VELHA,2006-09-01,2021-01-01,1287.0
FR315,VILA VELHA,2006-09-01,2019-12-01,
FR315,VILA VELHA,2006-09-01,2019-11-01,
FR315,VILA VELHA,2006-09-01,2019-10-01,
FR315,VILA VELHA,2006-09-01,2019-09-01,
FR315,VILA VELHA,2006-09-01,2019-08-01,468.0
FR315,VILA VELHA,2006-09-01,2019-07-01,396.0
FR315,VILA VELHA,2006-09-01,2019-06-01,348.0
FR315,VILA VELHA,2006-09-01,2019-05-01,507.0
FR315,VILA VELHA,2006-09-01,2019-04-01,366.0
FR315,VILA VELHA,2006-09-01,2019-03-01,372.0
FR315,VILA VELHA,2006-09-01,2019-02-01,381.0
FR315,VILA VELHA,2006-09-01,2019-01-01,102.0
FR314,VIANA,2015-04-01,2021-08-01,141.0
FR314,VIANA,2015-04-01,2021-07-01,141.0
FR314,VIANA,2015-04-01,2021-06-01,162.0
FR314,VIANA,2015-04-01,2021-05-01,96.0
FR314,VIANA,2015-04-01,2021-04-01,141.0
FR314,VIANA,2015-04-01,2021-03-01,138.0
FR314,VIANA,2015-04-01,2021-02-01,111.0
FR314,VIANA,2015-04-01,2021-01-01,111.0
FR314,VIANA,2015-04-01,2019-12-01,
FR314,VIANA,2015-04-01,2019-11-01,
FR314,VIANA,2015-04-01,2019-10-01,
FR314,VIANA,2015-04-01,2019-09-01,
FR314,VIANA,2015-04-01,2019-08-01,96.0
FR314,VIANA,2015-04-01,2019-07-01,96.0
FR314,VIANA,2015-04-01,2019-06-01,69.0
FR314,VIANA,2015-04-01,2019-05-01,81.0
FR314,VIANA,2015-04-01,2019-04-01,81.0
FR314,VIANA,2015-04-01,2019-03-01,75.0
FR314,VIANA,2015-04-01,2019-02-01,81.0
FR314,VIANA,2015-04-01,2019-01-01,39.0
FR313,VIAMAO,2017-09-01,2021-08-01,942.0
FR313,VIAMAO,2017-09-01,2021-07-01,1002.0
FR313,VIAMAO,2017-09-01,2021-06-01,963.0
FR313,VIAMAO,2017-09-01,2021-05-01,1017.0
FR313,VIAMAO,2017-09-01,2021-04-01,999.0
FR313,VIAMAO,2017-09-01,2021-03-01,1158.0
FR313,VIAMAO,2017-09-01,2021-02-01,741.0
FR313,VIAMAO,2017-09-01,2021-01-01,951.0
FR313,VIAMAO,2017-09-01,2019-12-01,
FR313,VIAMAO,2017-09-01,2019-11-01,
FR313,VIAMAO,2017-09-01,2019-10-01,
FR313,VIAMAO,2017-09-01,2019-09-01,
FR313,VIAMAO,2017-09-01,2019-08-01,987.0
FR313,VIAMAO,2017-09-01,2019-07-01,1059.0
FR313,VIAMAO,2017-09-01,2019-06-01,954.0
FR313,VIAMAO,2017-09-01,2019-05-01,882.0
FR313,VIAMAO,2017-09-01,2019-04-01,963.0
FR313,VIAMAO,2017-09-01,2019-03-01,1029.0
FR313,VIAMAO,2017-09-01,2019-02-01,1035.0
FR313,VIAMAO,2017-09-01,2019-01-01,87.0
FR312,VESPASIANO,2008-05-01,2021-08-01,666.0
FR312,VESPASIANO,2008-05-01,2021-07-01,960.0
FR312,VESPASIANO,2008-05-01,2021-06-01,849.0
FR312,VESPASIANO,2008-05-01,2021-05-01,840.0
FR312,VESPASIANO,2008-05-01,2021-04-01,936.0
FR312,VESPASIANO,2008-05-01,2021-03-01,783.0
FR312,VESPASIANO,2008-05-01,2021-02-01,657.0
FR312,VESPASIANO,2008-05-01,2021-01-01,813.0
FR312,VESPASIANO,2008-05-01,2019-12-01,
FR312,VESPASIANO,2008-05-01,2019-11-01,
FR312,VESPASIANO,2008-05-01,2019-10-01,
FR312,VESPASIANO,2008-05-01,2019-09-01,
FR312,VESPASIANO,2008-05-01,2019-08-01,309.0
FR312,VESPASIANO,2008-05-01,2019-07-01,342.0
FR312,VESPASIANO,2008-05-01,2019-06-01,357.0
FR312,VESPASIANO,2008-05-01,2019-05-01,423.0
FR312,VESPASIANO,2008-05-01,2019-04-01,426.0
FR312,VESPASIANO,2008-05-01,2019-03-01,372.0
FR312,VESPASIANO,2008-05-01,2019-02-01,255.0
FR312,VESPASIANO,2008-05-01,2019-01-01,27.0
FR311,VARZEA PAULISTA,2009-05-01,2021-08-01,372.0
FR311,VARZEA PAULISTA,2009-05-01,2021-07-01,339.0
FR311,VARZEA PAULISTA,2009-05-01,2021-06-01,465.0
FR311,VARZEA PAULISTA,2009-05-01,2021-05-01,399.0
FR311,VARZEA PAULISTA,2009-05-01,2021-04-01,579.0
FR311,VARZEA PAULISTA,2009-05-01,2021-03-01,471.0
FR311,VARZEA PAULISTA,2009-05-01,2021-02-01,312.0
FR311,VARZEA PAULISTA,2009-05-01,2021-01-01,321.0
FR311,VARZEA PAULISTA,2009-05-01,2019-12-01,
FR311,VARZEA PAULISTA,2009-05-01,2019-11-01,
FR311,VARZEA PAULISTA,2009-05-01,2019-10-01,
FR311,VARZEA PAULISTA,2009-05-01,2019-09-01,
FR311,VARZEA PAULISTA,2009-05-01,2019-08-01,363.0
FR311,VARZEA PAULISTA,2009-05-01,2019-07-01,279.0
FR311,VARZEA PAULISTA,2009-05-01,2019-06-01,231.0
FR311,VARZEA PAULISTA,2009-05-01,2019-05-01,285.0
FR311,VARZEA PAULISTA,2009-05-01,2019-04-01,270.0
FR311,VARZEA PAULISTA,2009-05-01,2019-03-01,186.0
FR310,VARZEA GRANDE,2017-11-01,2021-08-01,1113.0
FR310,VARZEA GRANDE,2017-11-01,2021-07-01,1497.0
FR310,VARZEA GRANDE,2017-11-01,2021-06-01,1758.0
FR310,VARZEA GRANDE,2017-11-01,2021-05-01,2211.0
FR310,VARZEA GRANDE,2017-11-01,2021-04-01,1533.0
FR310,VARZEA GRANDE,2017-11-01,2021-03-01,1737.0
FR310,VARZEA GRANDE,2017-11-01,2021-02-01,1251.0
FR310,VARZEA GRANDE,2017-11-01,2021-01-01,1497.0
FR310,VARZEA GRANDE,2017-11-01,2019-12-01,
FR310,VARZEA GRANDE,2017-11-01,2019-11-01,
FR310,VARZEA GRANDE,2017-11-01,2019-10-01,
FR310,VARZEA GRANDE,2017-11-01,2019-09-01,
FR310,VARZEA GRANDE,2017-11-01,2019-08-01,342.0
FR310,VARZEA GRANDE,2017-11-01,2019-07-01,651.0
FR310,VARZEA GRANDE,2017-11-01,2019-06-01,429.0
FR310,VARZEA GRANDE,2017-11-01,2019-05-01,207.0
FR310,VARZEA GRANDE,2017-11-01,2019-04-01,228.0
FR310,VARZEA GRANDE,2017-11-01,2019-03-01,255.0
FR310,VARZEA GRANDE,2017-11-01,2019-02-01,396.0
FR310,VARZEA GRANDE,2017-11-01,2019-01-01,27.0
FR309,VARGINHA,2006-08-01,2021-08-01,264.0
FR309,VARGINHA,2006-08-01,2021-07-01,459.0
FR309,VARGINHA,2006-08-01,2021-06-01,564.0
FR309,VARGINHA,2006-08-01,2021-05-01,345.0
FR309,VARGINHA,2006-08-01,2021-04-01,621.0
FR309,VARGINHA,2006-08-01,2021-03-01,417.0
FR309,VARGINHA,2006-08-01,2021-02-01,318.0
FR309,VARGINHA,2006-08-01,2021-01-01,387.0
FR309,VARGINHA,2006-08-01,2019-12-01,
FR309,VARGINHA,2006-08-01,2019-11-01,
FR309,VARGINHA,2006-08-01,2019-10-01,
FR309,VARGINHA,2006-08-01,2019-09-01,
FR309,VARGINHA,2006-08-01,2019-08-01,261.0
FR309,VARGINHA,2006-08-01,2019-07-01,228.0
FR309,VARGINHA,2006-08-01,2019-06-01,78.0
FR309,VARGINHA,2006-08-01,2019-05-01,327.0
FR309,VARGINHA,2006-08-01,2019-04-01,291.0
FR309,VARGINHA,2006-08-01,2019-03-01,204.0
FR309,VARGINHA,2006-08-01,2019-02-01,198.0
FR309,VARGINHA,2006-08-01,2019-01-01,75.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-08-01,1425.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-07-01,1491.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-06-01,1881.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-05-01,1836.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-04-01,1623.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-03-01,1701.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-02-01,1596.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2021-01-01,1728.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-12-01,
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-11-01,
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-10-01,
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-09-01,
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-08-01,948.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-07-01,996.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-06-01,789.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-05-01,885.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-04-01,834.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-03-01,771.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-02-01,687.0
FR308,VALPARAISO DE GOIAS,2018-03-01,2019-01-01,342.0
FR307,VALINHOS,2017-06-01,2021-08-01,255.0
FR307,VALINHOS,2017-06-01,2021-07-01,288.0
FR307,VALINHOS,2017-06-01,2021-06-01,360.0
FR307,VALINHOS,2017-06-01,2021-05-01,354.0
FR307,VALINHOS,2017-06-01,2021-04-01,387.0
FR307,VALINHOS,2017-06-01,2021-03-01,204.0
FR307,VALINHOS,2017-06-01,2021-02-01,183.0
FR307,VALINHOS,2017-06-01,2021-01-01,234.0
FR307,VALINHOS,2017-06-01,2019-12-01,
FR307,VALINHOS,2017-06-01,2019-11-01,
FR307,VALINHOS,2017-06-01,2019-10-01,
FR307,VALINHOS,2017-06-01,2019-09-01,
FR307,VALINHOS,2017-06-01,2019-08-01,105.0
FR307,VALINHOS,2017-06-01,2019-07-01,129.0
FR307,VALINHOS,2017-06-01,2019-06-01,135.0
FR307,VALINHOS,2017-06-01,2019-05-01,162.0
FR307,VALINHOS,2017-06-01,2019-04-01,171.0
FR307,VALINHOS,2017-06-01,2019-03-01,147.0
FR307,VALINHOS,2017-06-01,2019-02-01,207.0
FR307,VALINHOS,2017-06-01,2019-01-01,156.0
FR306,VALE DO ACO,2000-04-01,2021-08-01,471.0
FR306,VALE DO ACO,2000-04-01,2021-07-01,786.0
FR306,VALE DO ACO,2000-04-01,2021-06-01,579.0
FR306,VALE DO ACO,2000-04-01,2021-05-01,489.0
FR306,VALE DO ACO,2000-04-01,2021-04-01,615.0
FR306,VALE DO ACO,2000-04-01,2021-03-01,516.0
FR306,VALE DO ACO,2000-04-01,2021-02-01,615.0
FR306,VALE DO ACO,2000-04-01,2021-01-01,756.0
FR306,VALE DO ACO,2000-04-01,2019-12-01,
FR306,VALE DO ACO,2000-04-01,2019-11-01,
FR306,VALE DO ACO,2000-04-01,2019-10-01,
FR306,VALE DO ACO,2000-04-01,2019-09-01,
FR306,VALE DO ACO,2000-04-01,2019-08-01,384.0
FR306,VALE DO ACO,2000-04-01,2019-07-01,315.0
FR306,VALE DO ACO,2000-04-01,2019-06-01,276.0
FR306,VALE DO ACO,2000-04-01,2019-05-01,420.0
FR306,VALE DO ACO,2000-04-01,2019-04-01,393.0
FR306,VALE DO ACO,2000-04-01,2019-03-01,384.0
FR306,VALE DO ACO,2000-04-01,2019-02-01,420.0
FR306,VALE DO ACO,2000-04-01,2019-01-01,129.0
FR305,UMUARAMA,2021-08-01,2021-08-01,282.0
FR304,UBERLANDIA,2019-04-01,2021-08-01,990.0
FR304,UBERLANDIA,2019-04-01,2021-07-01,1365.0
FR304,UBERLANDIA,2019-04-01,2021-06-01,906.0
FR304,UBERLANDIA,2019-04-01,2021-05-01,1212.0
FR304,UBERLANDIA,2019-04-01,2021-04-01,837.0
FR304,UBERLANDIA,2019-04-01,2021-03-01,828.0
FR304,UBERLANDIA,2019-04-01,2021-02-01,1002.0
FR304,UBERLANDIA,2019-04-01,2021-01-01,1404.0
FR304,UBERLANDIA,2019-04-01,2019-12-01,
FR304,UBERLANDIA,2019-04-01,2019-11-01,
FR304,UBERLANDIA,2019-04-01,2019-10-01,
FR304,UBERLANDIA,2019-04-01,2019-09-01,
FR304,UBERLANDIA,2019-04-01,2019-08-01,0.0
FR304,UBERLANDIA,2019-04-01,2019-07-01,0.0
FR304,UBERLANDIA,2019-04-01,2019-06-01,0.0
FR304,UBERLANDIA,2019-04-01,2019-05-01,0.0
FR304,UBERLANDIA,2019-04-01,2019-04-01,12.0
FR304,UBERLANDIA,2019-04-01,2019-03-01,162.0
FR304,UBERLANDIA,2019-04-01,2019-02-01,162.0
FR304,UBERLANDIA,2019-04-01,2019-01-01,6.0
FR303,UBERABA,2006-02-01,2021-08-01,1680.0
FR303,UBERABA,2006-02-01,2021-07-01,1851.0
FR303,UBERABA,2006-02-01,2021-06-01,1638.0
FR303,UBERABA,2006-02-01,2021-05-01,780.0
FR303,UBERABA,2006-02-01,2021-04-01,1137.0
FR303,UBERABA,2006-02-01,2021-03-01,1269.0
FR303,UBERABA,2006-02-01,2021-02-01,1086.0
FR303,UBERABA,2006-02-01,2021-01-01,1080.0
FR303,UBERABA,2006-02-01,2019-12-01,
FR303,UBERABA,2006-02-01,2019-11-01,
FR303,UBERABA,2006-02-01,2019-10-01,
FR303,UBERABA,2006-02-01,2019-09-01,
FR303,UBERABA,2006-02-01,2019-08-01,639.0
FR303,UBERABA,2006-02-01,2019-07-01,576.0
FR303,UBERABA,2006-02-01,2019-06-01,468.0
FR303,UBERABA,2006-02-01,2019-05-01,609.0
FR303,UBERABA,2006-02-01,2019-04-01,585.0
FR303,UBERABA,2006-02-01,2019-03-01,534.0
FR303,UBERABA,2006-02-01,2019-02-01,624.0
FR303,UBERABA,2006-02-01,2019-01-01,60.0
FR302,UBA,2015-07-01,2021-08-01,48.0
FR302,UBA,2015-07-01,2021-07-01,27.0
FR302,UBA,2015-07-01,2021-06-01,57.0
FR302,UBA,2015-07-01,2021-05-01,24.0
FR302,UBA,2015-07-01,2021-04-01,24.0
FR302,UBA,2015-07-01,2021-03-01,54.0
FR302,UBA,2015-07-01,2021-02-01,39.0
FR302,UBA,2015-07-01,2021-01-01,51.0
FR302,UBA,2015-07-01,2019-12-01,
FR302,UBA,2015-07-01,2019-11-01,
FR302,UBA,2015-07-01,2019-10-01,
FR302,UBA,2015-07-01,2019-09-01,
FR302,UBA,2015-07-01,2019-08-01,15.0
FR302,UBA,2015-07-01,2019-07-01,15.0
FR302,UBA,2015-07-01,2019-06-01,3.0
FR302,UBA,2015-07-01,2019-05-01,6.0
FR302,UBA,2015-07-01,2019-04-01,9.0
FR302,UBA,2015-07-01,2019-03-01,9.0
FR302,UBA,2015-07-01,2019-02-01,6.0
FR302,UBA,2015-07-01,2019-01-01,15.0
FR301,TUBARAO,2019-12-01,2021-08-01,450.0
FR301,TUBARAO,2019-12-01,2021-07-01,462.0
FR301,TUBARAO,2019-12-01,2021-06-01,420.0
FR301,TUBARAO,2019-12-01,2021-05-01,495.0
FR301,TUBARAO,2019-12-01,2021-04-01,456.0
FR301,TUBARAO,2019-12-01,2021-03-01,336.0
FR301,TUBARAO,2019-12-01,2021-02-01,468.0
FR301,TUBARAO,2019-12-01,2021-01-01,708.0
FR300,TRES LAGOAS,2021-02-01,2021-08-01,777.0
FR300,TRES LAGOAS,2021-02-01,2021-07-01,1071.0
FR300,TRES LAGOAS,2021-02-01,2021-06-01,2130.0
FR300,TRES LAGOAS,2021-02-01,2021-05-01,1512.0
FR300,TRES LAGOAS,2021-02-01,2021-04-01,1023.0
FR300,TRES LAGOAS,2021-02-01,2021-03-01,699.0
FR300,TRES LAGOAS,2021-02-01,2021-02-01,276.0
FR300,TRES LAGOAS,2021-02-01,2021-01-01,0.0
FR299,TOLEDO,2021-04-01,2021-08-01,891.0
FR299,TOLEDO,2021-04-01,2021-07-01,867.0
FR299,TOLEDO,2021-04-01,2021-06-01,696.0
FR299,TOLEDO,2021-04-01,2021-05-01,762.0
FR299,TOLEDO,2021-04-01,2021-04-01,387.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-08-01,18.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-07-01,39.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-06-01,30.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-05-01,15.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-04-01,39.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-03-01,33.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-02-01,3.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2021-01-01,6.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-12-01,
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-11-01,
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-10-01,
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-09-01,
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-08-01,12.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-07-01,24.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-06-01,27.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-05-01,39.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-04-01,18.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-03-01,21.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-02-01,27.0
FR298,TERESOPOLIS RIO PRETO,2016-08-01,2019-01-01,0.0
FR297,TERESOPOLIS,2010-05-01,2021-08-01,312.0
FR297,TERESOPOLIS,2010-05-01,2021-07-01,312.0
FR297,TERESOPOLIS,2010-05-01,2021-06-01,378.0
FR297,TERESOPOLIS,2010-05-01,2021-05-01,459.0
FR297,TERESOPOLIS,2010-05-01,2021-04-01,435.0
FR297,TERESOPOLIS,2010-05-01,2021-03-01,486.0
FR297,TERESOPOLIS,2010-05-01,2021-02-01,312.0
FR297,TERESOPOLIS,2010-05-01,2021-01-01,381.0
FR297,TERESOPOLIS,2010-05-01,2019-12-01,
FR297,TERESOPOLIS,2010-05-01,2019-11-01,
FR297,TERESOPOLIS,2010-05-01,2019-10-01,
FR297,TERESOPOLIS,2010-05-01,2019-09-01,
FR297,TERESOPOLIS,2010-05-01,2019-08-01,219.0
FR297,TERESOPOLIS,2010-05-01,2019-07-01,213.0
FR297,TERESOPOLIS,2010-05-01,2019-06-01,168.0
FR297,TERESOPOLIS,2010-05-01,2019-05-01,285.0
FR297,TERESOPOLIS,2010-05-01,2019-04-01,294.0
FR297,TERESOPOLIS,2010-05-01,2019-03-01,315.0
FR297,TERESOPOLIS,2010-05-01,2019-02-01,291.0
FR297,TERESOPOLIS,2010-05-01,2019-01-01,69.0
FR296,TERESINA,2018-11-01,2021-08-01,1380.0
FR296,TERESINA,2018-11-01,2021-07-01,2151.0
FR296,TERESINA,2018-11-01,2021-06-01,1728.0
FR296,TERESINA,2018-11-01,2021-05-01,1752.0
FR296,TERESINA,2018-11-01,2021-04-01,1926.0
FR296,TERESINA,2018-11-01,2021-03-01,1584.0
FR296,TERESINA,2018-11-01,2021-02-01,1908.0
FR296,TERESINA,2018-11-01,2021-01-01,2247.0
FR296,TERESINA,2018-11-01,2019-12-01,
FR296,TERESINA,2018-11-01,2019-11-01,
FR296,TERESINA,2018-11-01,2019-10-01,
FR296,TERESINA,2018-11-01,2019-09-01,
FR296,TERESINA,2018-11-01,2019-08-01,747.0
FR296,TERESINA,2018-11-01,2019-07-01,768.0
FR296,TERESINA,2018-11-01,2019-06-01,567.0
FR296,TERESINA,2018-11-01,2019-05-01,573.0
FR296,TERESINA,2018-11-01,2019-04-01,240.0
FR296,TERESINA,2018-11-01,2019-03-01,87.0
FR295,TERESINA,2018-11-01,2021-08-01,1527.0
FR295,TERESINA,2018-11-01,2021-07-01,2277.0
FR295,TERESINA,2018-11-01,2021-06-01,2256.0
FR295,TERESINA,2018-11-01,2021-05-01,2130.0
FR295,TERESINA,2018-11-01,2021-04-01,2346.0
FR295,TERESINA,2018-11-01,2021-03-01,1941.0
FR295,TERESINA,2018-11-01,2021-02-01,2250.0
FR295,TERESINA,2018-11-01,2021-01-01,2820.0
FR295,TERESINA,2018-11-01,2019-12-01,
FR295,TERESINA,2018-11-01,2019-11-01,
FR295,TERESINA,2018-11-01,2019-10-01,
FR295,TERESINA,2018-11-01,2019-09-01,
FR295,TERESINA,2018-11-01,2019-08-01,957.0
FR295,TERESINA,2018-11-01,2019-07-01,618.0
FR295,TERESINA,2018-11-01,2019-06-01,678.0
FR295,TERESINA,2018-11-01,2019-05-01,732.0
FR295,TERESINA,2018-11-01,2019-04-01,612.0
FR295,TERESINA,2018-11-01,2019-03-01,33.0
FR294,TEOFILO OTONI,2004-07-01,2021-08-01,261.0
FR294,TEOFILO OTONI,2004-07-01,2021-07-01,318.0
FR294,TEOFILO OTONI,2004-07-01,2021-06-01,216.0
FR294,TEOFILO OTONI,2004-07-01,2021-05-01,213.0
FR294,TEOFILO OTONI,2004-07-01,2021-04-01,240.0
FR294,TEOFILO OTONI,2004-07-01,2021-03-01,210.0
FR294,TEOFILO OTONI,2004-07-01,2021-02-01,210.0
FR294,TEOFILO OTONI,2004-07-01,2021-01-01,240.0
FR294,TEOFILO OTONI,2004-07-01,2019-12-01,
FR294,TEOFILO OTONI,2004-07-01,2019-11-01,
FR294,TEOFILO OTONI,2004-07-01,2019-10-01,
